Date,Price,Open,High,Low,Vol.,Change %
12/16/2022,82.706,82.865,82.897,82.626,,-0.17%
12/15/2022,82.843,82.537,82.993,82.415,,0.45%
12/14/2022,82.474,82.61,82.715,82.402,,0.12%
12/13/2022,82.375,82.662,82.922,82.373,,-0.31%
12-12-2022,82.634,82.434,82.745,82.423,,0.27%
12-09-2022,82.41,82.244,82.509,82.086,,0.16%
12-08-2022,82.28,82.267,82.477,82.253,,0.09%
12-07-2022,82.204,82.422,82.783,82.188,,-0.33%
12-06-2022,82.48,81.904,82.643,81.897,,0.72%
12-05-2022,81.89,81.255,81.91,81.195,,0.59%
12-02-2022,81.41,81.165,81.527,81.082,,0.36%
12-01-2022,81.12,81.151,81.336,80.985,,-0.29%
11/30/2022,81.359,81.645,81.65,81.271,,-0.31%
11/29/2022,81.616,81.549,81.758,81.541,,-0.03%
11/28/2022,81.64,81.814,81.846,81.518,,-0.06%
11/25/2022,81.685,81.671,81.754,81.432,,0.09%
11/24/2022,81.613,81.633,81.777,81.588,,0.01%
11/23/2022,81.604,81.719,81.934,81.628,,-0.13%
11/22/2022,81.714,81.728,81.83,81.58,,0.02%
11/21/2022,81.699,81.672,81.927,81.579,,0.10%
11/18/2022,81.617,81.53,81.8,81.505,,0.13%
11/17/2022,81.51,81.453,81.854,81.422,,0.04%
11/16/2022,81.48,81.105,81.574,81.105,,0.52%
11/15/2022,81.061,80.992,81.449,80.703,,0.12%
11/14/2022,80.965,80.525,81.299,80.51,,0.61%
11-11-2022,80.477,80.565,80.996,80.483,,-0.19%
11-10-2022,80.63,81.444,81.93,80.632,,-0.87%
11-09-2022,81.335,81.34,81.628,81.21,,-0.04%
11-08-2022,81.37,81.832,82.034,81.241,,-0.53%
11-07-2022,81.804,82.075,82.324,81.809,,-0.19%
11-04-2022,81.962,82.69,82.74,81.97,,-0.93%
11-03-2022,82.731,82.894,82.996,82.693,,0.02%
11-02-2022,82.712,82.682,82.818,82.609,,0.08%
11-01-2022,82.65,82.817,82.826,82.494,,-0.14%
10/31/2022,82.77,82.386,82.877,82.316,,0.62%
10/28/2022,82.261,82.364,82.518,82.269,,-0.13%
10/27/2022,82.368,82.031,82.574,82.017,,0.57%
10/26/2022,81.901,82.445,82.539,81.961,,-0.74%
10/25/2022,82.515,82.755,82.859,82.413,,-0.28%
10/24/2022,82.744,82.603,82.884,82.572,,0.26%
10/21/2022,82.529,82.836,83.104,82.539,,-0.35%
10/20/2022,82.82,82.991,83.268,82.526,,-0.23%
10/19/2022,83.013,82.271,83.101,82.26,,0.88%
10/18/2022,82.291,82.134,82.381,81.998,,0.15%
10/17/2022,82.171,82.4,82.418,82.081,,-0.21%
10/14/2022,82.34,82.182,82.423,82.101,,0.20%
10/13/2022,82.172,82.179,82.66,82.1,,0.02%
10-12-2022,82.159,82.238,82.365,82.151,,-0.12%
10-11-2022,82.256,82.397,82.497,82.084,,-0.14%
10-10-2022,82.37,82.68,82.695,82.236,,-0.54%
10-07-2022,82.82,82.264,82.82,82.089,,0.93%
10-06-2022,82.06,81.515,82.298,81.46,,0.53%
10-05-2022,81.631,81.454,81.711,81.303,,0.22%
10-04-2022,81.451,81.49,81.68,81.265,,-0.05%
10-03-2022,81.494,81.504,81.923,81.48,,-0.02%
09/30/2022,81.509,81.473,81.71,81.142,,0.06%
09/29/2022,81.461,81.565,81.943,81.456,,0.07%
09/28/2022,81.406,81.85,82.005,81.338,,-0.37%
09/27/2022,81.705,81.352,81.772,81.277,,0.12%
09/26/2022,81.61,81.31,81.704,81.31,,0.44%
09/23/2022,81.25,81.025,81.266,80.76,,0.25%
09/22/2022,81.047,80.206,81.13,80.177,,1.43%
09/21/2022,79.907,79.76,80.056,79.73,,0.20%
09/20/2022,79.751,79.65,79.771,79.575,,0.07%
09/19/2022,79.693,79.686,79.818,79.569,,0.01%
09/16/2022,79.686,79.832,79.858,79.566,,-0.19%
09/15/2022,79.839,79.49,79.846,79.428,,0.51%
09/14/2022,79.431,79.566,79.62,79.349,,-0.18%
09/13/2022,79.577,79.375,79.607,78.998,,0.29%
09-12-2022,79.35,79.648,79.72,79.273,,-0.36%
09-09-2022,79.635,79.656,79.665,79.434,,-0.04%
09-08-2022,79.667,79.635,79.835,79.626,,0.05%
09-07-2022,79.63,79.908,79.974,79.594,,-0.30%
09-06-2022,79.87,79.803,79.916,79.735,,0.11%
09-05-2022,79.783,79.925,79.927,79.752,,0.08%
09-02-2022,79.717,79.71,79.914,79.604,,0.06%
09-01-2022,79.673,79.535,79.74,79.281,,0.23%
08/31/2022,79.491,79.707,79.717,79.415,,-0.22%
08/30/2022,79.665,79.968,79.985,79.417,,-0.36%
08/29/2022,79.954,79.989,80.135,79.892,,-0.01%
08/26/2022,79.961,79.883,79.983,79.709,,0.12%
08/25/2022,79.862,79.811,80.006,79.749,,0.10%
08/24/2022,79.78,79.875,79.9,79.691,,-0.08%
08/23/2022,79.847,79.875,79.919,79.682,,0.00%
08/22/2022,79.85,79.905,79.93,79.769,,-0.09%
08/19/2022,79.92,79.775,79.943,79.698,,0.21%
08/18/2022,79.75,79.405,79.765,79.372,,0.50%
08/17/2022,79.35,79.166,79.514,79.155,,0.13%
08/16/2022,79.248,79.55,79.605,79.25,,-0.34%
08/15/2022,79.518,79.654,79.658,79.459,,-0.15%
08-12-2022,79.641,79.61,79.759,79.59,,0.08%
08-11-2022,79.58,79.066,79.695,79.066,,0.62%
08-10-2022,79.09,79.56,79.613,79.018,,-0.59%
08-09-2022,79.563,79.582,79.661,79.497,,-0.03%
08-08-2022,79.584,79.425,79.689,79.42,,0.28%
08-05-2022,79.36,79.16,79.494,78.918,,0.25%
08-04-2022,79.16,79.096,79.84,79.048,,0.07%
08-03-2022,79.108,78.627,79.243,78.574,,0.66%
08-02-2022,78.587,78.961,79.002,78.393,,-0.47%
08-01-2022,78.959,79.185,79.241,78.894,,-0.48%
07/29/2022,79.336,79.604,79.604,79.168,,-0.36%
07/28/2022,79.626,79.763,79.855,79.586,,-0.27%
07/27/2022,79.845,79.823,79.995,79.774,,0.00%
07/26/2022,79.843,79.735,79.884,79.692,,0.19%
07/25/2022,79.691,79.784,79.885,79.678,,-0.17%
07/22/2022,79.83,79.883,79.938,79.803,,-0.03%
07/21/2022,79.85,80.026,80.067,79.76,,-0.16%
07/20/2022,79.98,79.907,80.067,79.878,,0.16%
07/19/2022,79.85,79.989,80.072,79.857,,-0.18%
07/18/2022,79.99,79.817,80.02,79.703,,0.29%
07/15/2022,79.76,79.867,79.979,79.715,,-0.16%
07/14/2022,79.89,79.708,80.235,79.666,,0.30%
07/13/2022,79.65,79.49,79.87,79.475,,0.25%
07-12-2022,79.45,79.466,79.666,79.459,,0.05%
07-11-2022,79.41,79.255,79.585,79.255,,0.19%
07-08-2022,79.26,79.18,79.435,79.128,,0.11%
07-07-2022,79.175,79.046,79.278,78.905,,0.16%
07-06-2022,79.047,79.186,79.398,78.922,,-0.32%
07-05-2022,79.298,78.964,79.428,78.956,,0.45%
07-04-2022,78.939,78.984,79.088,78.871,,-0.02%
07-01-2022,78.956,78.983,79.159,78.818,,-0.01%
06/30/2022,78.965,78.9,79.095,78.867,,0.03%
06/29/2022,78.945,79.004,79.075,78.856,,-0.06%
06/28/2022,78.995,78.445,79.047,78.438,,0.71%
06/27/2022,78.44,78.283,78.571,78.196,,0.24%
06/24/2022,78.255,78.182,78.375,78.12,,0.14%
06/23/2022,78.145,78.22,78.377,78.112,,-0.04%
06/22/2022,78.18,78.15,78.41,78.121,,0.06%
06/21/2022,78.133,77.937,78.143,77.935,,0.26%
06/20/2022,77.927,78.002,78.058,77.879,,-0.03%
06/17/2022,77.952,77.993,78.112,77.941,,-0.03%
06/16/2022,77.977,78.036,78.123,77.917,,-0.25%
06/15/2022,78.171,78.03,78.227,77.977,,0.19%
06/14/2022,78.022,78.128,78.128,77.953,,-0.10%
06/13/2022,78.104,78.185,78.323,77.963,,-0.05%
06-10-2022,78.144,77.804,78.208,77.778,,0.42%
06-09-2022,77.815,77.707,77.874,77.69,,0.14%
06-08-2022,77.709,77.7,77.811,77.598,,0.06%
06-07-2022,77.664,77.784,77.847,77.62,,-0.19%
06-06-2022,77.814,77.678,77.854,77.554,,0.26%
06-03-2022,77.615,77.423,77.68,77.393,,0.28%
06-02-2022,77.399,77.562,77.654,77.377,,-0.21%
06-01-2022,77.56,77.627,77.655,77.431,,-0.05%
05/31/2022,77.598,77.553,77.752,77.553,,0.06%
05/30/2022,77.554,77.595,77.595,77.487,,-0.09%
05/27/2022,77.624,77.64,77.703,77.533,,-0.02%
05/26/2022,77.636,77.504,77.716,77.504,,0.14%
05/25/2022,77.531,77.496,77.641,77.459,,0.07%
05/24/2022,77.475,77.528,77.69,77.463,,-0.09%
05/23/2022,77.545,77.678,77.738,77.445,,-0.41%
05/20/2022,77.865,77.432,77.891,77.432,,0.58%
05/19/2022,77.415,77.825,77.825,77.378,,-0.51%
05/18/2022,77.81,77.455,77.81,77.455,,0.43%
05/17/2022,77.476,77.822,77.822,77.375,,-0.46%
05/16/2022,77.833,77.512,77.911,77.512,,0.46%
05/13/2022,77.48,77.44,77.548,77.243,,0.06%
05-12-2022,77.435,77.418,77.645,77.294,,0.01%
05-11-2022,77.425,77.254,77.502,77.155,,0.26%
05-10-2022,77.225,77.374,77.472,77.114,,-0.18%
05-09-2022,77.365,76.987,77.535,76.987,,0.50%
05-06-2022,76.979,76.518,77.079,76.518,,0.61%
05-05-2022,76.514,76.149,76.578,76.007,,0.30%
05-04-2022,76.282,76.474,76.603,76.206,,-0.25%
05-03-2022,76.47,76.49,76.675,76.45,,-0.02%
05-02-2022,76.485,76.515,76.53,76.327,,-0.07%
04/29/2022,76.535,76.617,76.704,76.264,,-0.18%
04/28/2022,76.67,76.521,76.72,76.407,,0.05%
04/27/2022,76.632,76.773,76.816,76.498,,-0.06%
04/26/2022,76.68,76.546,76.705,76.451,,-0.09%
04/25/2022,76.748,76.556,76.8,76.552,,0.36%
04/22/2022,76.475,76.283,76.533,76.205,,0.28%
04/21/2022,76.262,76.282,76.39,76.08,,-0.01%
04/20/2022,76.269,76.475,76.548,76.156,,-0.23%
04/19/2022,76.445,76.285,76.56,76.253,,0.21%
04/18/2022,76.284,76.308,76.453,76.222,,-0.06%
04/15/2022,76.332,76.306,76.365,76.286,,0.05%
04/14/2022,76.292,76.145,76.296,76.081,,0.22%
04/13/2022,76.122,76.155,76.286,76.044,,0.05%
04-12-2022,76.082,75.938,76.196,75.938,,0.32%
04-11-2022,75.836,75.966,76.111,75.805,,-0.16%
04-08-2022,75.96,75.932,76.061,75.722,,0.06%
04-07-2022,75.913,75.962,76.05,75.776,,-0.04%
04-06-2022,75.947,75.424,76.074,75.424,,0.64%
04-05-2022,75.465,75.434,75.572,75.26,,0.02%
04-04-2022,75.451,75.922,75.951,75.354,,-0.72%
04-01-2022,75.995,75.918,76.021,75.863,,0.09%
03/31/2022,75.928,75.845,75.968,75.651,,0.14%
03/30/2022,75.823,75.668,75.984,75.615,,0.21%
03/29/2022,75.666,76.005,76.176,75.565,,-0.56%
03/28/2022,76.09,76.32,76.39,76.022,,-0.26%
03/25/2022,76.285,76.222,76.299,76.125,,-0.03%
03/24/2022,76.305,76.51,76.51,76.166,,-0.29%
03/23/2022,76.53,76.104,76.53,75.982,,0.49%
03/22/2022,76.159,76.308,76.52,75.996,,-0.17%
03/21/2022,76.285,76.034,76.285,76.005,,0.29%
03/18/2022,76.065,76.065,76.21,76.017,,0.17%
03/17/2022,75.937,76.054,76.09,75.755,,-0.35%
03/16/2022,76.2,76.271,76.482,76.108,,-0.29%
03/15/2022,76.42,76.47,76.69,76.302,,-0.04%
03/14/2022,76.45,76.654,76.72,76.44,,-0.08%
03-11-2022,76.511,76.371,76.737,76.272,,0.26%
03-10-2022,76.31,76.271,76.497,76.071,,-0.09%
03-09-2022,76.382,76.928,77.014,76.317,,-0.68%
03-08-2022,76.905,76.996,77.174,76.725,,-0.09%
03-07-2022,76.975,76.665,77.16,76.665,,0.72%
03-04-2022,76.425,75.945,76.438,75.944,,0.60%
03-03-2022,75.971,75.66,76.02,75.627,,0.44%
03-02-2022,75.638,75.928,75.947,75.59,,-0.19%
03-01-2022,75.782,75.289,75.817,75.284,,0.35%
02/28/2022,75.52,75.767,75.808,75.285,,0.59%
02/25/2022,75.075,75.415,75.475,75.075,,-0.71%
02/24/2022,75.615,74.679,75.835,74.643,,1.31%
02/23/2022,74.64,74.63,74.735,74.531,,0.01%
02/22/2022,74.63,74.692,74.999,74.602,,0.14%
02/21/2022,74.524,74.596,74.742,74.355,,-0.22%
02/18/2022,74.687,75.07,75.109,74.469,,-0.56%
02/17/2022,75.105,74.973,75.233,74.945,,0.07%
02/16/2022,75.05,75.198,75.319,74.955,,-0.17%
02/15/2022,75.177,75.63,75.749,75.162,,-0.67%
