iteration,loglik,run
0,,0
1,-8365560.0,0
2,-13827593.0,0
3,-28598.578125,0
4,-14242188.0,0
5,-28117.162109375,0
6,-27986.2890625,0
7,-27868.615234375,0
8,-27760.9375,0
9,-27645.98046875,0
10,-27560.021484375,0
11,-27485.33203125,0
12,-27406.904296875,0
13,-27337.478515625,0
14,-27274.845703125,0
15,-27198.84765625,0
16,-27138.673828125,0
17,-27087.40625,0
18,-27035.181640625,0
19,-26990.51953125,0
20,-26948.107421875,0
21,-26899.095703125,0
22,-26862.123046875,0
23,-26829.27734375,0
24,-26792.486328125,0
25,-26757.4375,0
26,-26723.89453125,0
27,-26694.34765625,0
28,-26665.888671875,0
29,-26635.5625,0
30,-26604.8203125,0
31,-26582.12890625,0
32,-26554.7421875,0
33,-26526.57421875,0
34,-26500.0703125,0
35,-26477.87890625,0
36,-26456.740234375,0
37,-26432.888671875,0
38,-26411.974609375,0
39,-26395.203125,0
40,-26379.541015625,0
41,-26361.208984375,0
42,-26343.775390625,0
43,-26326.23046875,0
44,-26309.65234375,0
45,-26291.27734375,0
46,-26274.919921875,0
47,-26260.0390625,0
48,-26244.8359375,0
49,-26231.748046875,0
50,-26216.521484375,0
0,,1
1,-7359747.5,1
2,-7305023.5,1
3,-9662883.0,1
4,-12480900.0,1
5,-16138971.0,1
6,-22926070.0,1
7,-43800152.0,1
8,-43037600.0,1
9,-115472912.0,1
10,-136304176.0,1
11,-61012048.0,1
12,-27335.908203125,1
13,-27271.83203125,1
14,-27208.45703125,1
15,-98273704.0,1
16,-92937144.0,1
17,-94660560.0,1
18,-726467520.0,1
19,-26942.01953125,1
20,-26902.814453125,1
21,-26866.080078125,1
22,-26820.998046875,1
23,-837272000.0,1
24,-222137536.0,1
25,-307794112.0,1
26,-65143128.0,1
27,-70449624.0,1
28,-66183432.0,1
29,-60129168.0,1
30,-87025144.0,1
31,-73444784.0,1
32,-67246816.0,1
33,-57266852.0,1
34,-55772928.0,1
35,-52518180.0,1
36,-43992796.0,1
37,-38265520.0,1
38,-41520512.0,1
39,-40979624.0,1
40,-39892376.0,1
41,-49607252.0,1
42,-50885032.0,1
43,-54278964.0,1
44,-76145304.0,1
45,-87625328.0,1
46,-118808752.0,1
47,-143968480.0,1
48,-219084304.0,1
49,-144349968.0,1
50,-151045296.0,1
